phenotype1,phenotype2,phenotype3
14,7,nan
10,20,nan
14,75,nan
20,78,nan
127,44,nan
132,75,nan
202,77,nan
223,78,nan
225,79,nan
234,80,nan
127,235,nan
132,240,nan
134,291,nan
135,309,nan
143,366,nan
144,370,nan
202,372,nan
223,377,nan
224,458,nan
225,465,nan
234,476,nan
235,480,nan
240,481,nan
264,483,nan
291,490,nan
301,491,nan
306,496,nan
309,498,nan
315,501,nan
316,504,nan
356,505,nan
359,508,nan
360,512,nan
364,517,nan
365,534,nan
366,539,nan
370,540,nan
372,549,nan
377,551,nan
458,559,nan
464,567,nan
465,573,nan
473,588,nan
476,589,nan
480,593,nan
481,597,nan
483,606,nan
490,610,nan
491,612,nan
496,616,nan
498,622,nan
499,632,nan
501,667,nan
504,682,nan
505,703,nan
508,708,nan
509,821,nan
512,823,nan
517,824,nan
534,828,nan
539,829,nan
540,831,nan
545,834,nan
549,837,nan
551,843,nan
554,845,nan
559,847,nan
567,848,nan
568,849,nan
573,852,nan
588,7,nan
10,589,nan
44,591,nan
134,593,nan
135,597,nan
143,601,nan
144,606,nan
224,610,nan
264,612,nan
301,616,nan
315,617,nan
316,622,nan
360,630,nan
364,632,nan
464,649,nan
499,657,nan
545,662,nan
554,667,nan
568,682,nan
591,703,nan
601,708,nan
617,743,nan
630,759,nan
763,776,nan
764,790,nan
771,809,nan
775,840,nan
776,841,nan
790,846,nan
77,809,nan
80,811,nan
306,812,nan
356,815,nan
359,821,nan
365,823,nan
473,824,nan
649,828,nan
662,829,nan
743,831,nan
759,834,nan
771,837,nan
811,839,nan
812,840,nan
839,841,nan
509,843,nan
657,845,nan
764,846,nan
775,847,nan
815,848,nan
821,849,nan
823,852,nan
14,2,824
2,20,828
2,26,831
2,44,836
2,69,840
2,77,841
2,78,842
2,202,79
2,223,80
132,2,224
134,2,225
135,2,235
143,2,240
144,2,290
2,202,291
2,223,306
2,224,315
2,225,316
2,234,356
2,235,360
2,240,364
2,264,366
2,290,370
2,291,377
2,306,407
