phenotype1,phenotype2,phenotype3
NULL,7,14
NULL,10,20
NULL,14,75
NULL,20,78
NULL,44,127
NULL,75,132
NULL,77,202
NULL,78,223
NULL,79,225
NULL,80,234
NULL,127,235
NULL,132,240
NULL,134,291
NULL,135,309
NULL,143,366
NULL,144,370
NULL,202,372
NULL,223,377
NULL,224,458
NULL,225,465
NULL,234,476
NULL,235,480
NULL,240,481
NULL,264,483
NULL,291,490
NULL,301,491
NULL,306,496
NULL,309,498
NULL,315,501
NULL,316,504
NULL,356,505
NULL,359,508
NULL,360,512
NULL,364,517
NULL,365,534
NULL,366,539
NULL,370,540
NULL,372,549
NULL,377,551
NULL,458,559
NULL,464,567
NULL,465,573
NULL,473,588
NULL,476,589
NULL,480,593
NULL,481,597
NULL,483,606
NULL,490,610
NULL,491,612
NULL,496,616
NULL,498,622
NULL,499,632
NULL,501,667
NULL,504,682
NULL,505,703
NULL,508,708
NULL,509,821
NULL,512,823
NULL,517,824
NULL,534,828
NULL,539,829
NULL,540,831
NULL,545,834
NULL,549,837
NULL,551,843
NULL,554,845
NULL,559,847
NULL,567,848
NULL,568,849
NULL,573,852
NULL,588,7
NULL,589,10
NULL,591,44
NULL,593,134
NULL,597,135
NULL,601,143
NULL,606,144
NULL,610,224
NULL,612,264
NULL,616,301
NULL,617,315
NULL,622,316
NULL,630,360
NULL,632,364
NULL,649,464
NULL,657,499
NULL,662,545
NULL,667,554
NULL,682,568
NULL,703,591
NULL,708,601
NULL,743,617
NULL,759,630
NULL,763,776
NULL,764,790
NULL,771,809
NULL,775,840
NULL,776,841
NULL,790,846
NULL,809,77
NULL,811,80
NULL,812,306
NULL,815,356
NULL,821,359
NULL,823,365
NULL,824,473
NULL,828,649
NULL,829,662
NULL,831,743
NULL,834,759
NULL,837,771
NULL,839,811
NULL,840,812
NULL,841,839
NULL,843,509
NULL,845,657
NULL,846,764
NULL,847,775
NULL,848,815
NULL,849,821
NULL,852,823
2,14,824
2,20,828
2,26,831
2,44,836
2,69,840
2,77,841
2,78,842
2,79,202
2,80,223
2,132,224
2,134,225
2,135,235
2,143,240
2,144,290
2,202,291
2,223,306
2,224,315
2,225,316
2,234,356
2,235,360
2,240,364
2,264,366
2,290,370
2,291,377
2,306,407
2,309,465
2,315,472
2,316,498
2,356,499
2,360,505
2,364,509
2,365,512
2,366,525
2,370,528
2,372,534
2,377,539
2,407,540
2,465,542
2,472,545
2,473,549
2,475,551
2,476,553
2,480,554
2,481,567
2,483,573
2,490,588
2,491,597
2,496,606
2,498,612
2,499,616
2,501,622
2,505,630
2,509,633
2,512,657
2,525,662
2,528,682
2,534,703
2,539,708
2,540,764
2,542,771
2,545,776
2,549,777
2,551,778
2,553,790
2,554,812
2,559,815
2,567,816
2,568,819
2,570,849
2,573,14
2,588,26
2,589,77
2,597,78
2,601,79
2,606,80
2,610,132
2,612,134
2,616,143
2,622,144
2,630,264
2,632,309
2,633,365
2,649,372
2,657,475
2,662,476
2,667,480
2,682,481
2,703,483
2,708,490
2,763,496
2,764,501
2,771,559
2,775,568
2,776,601
2,777,610
2,778,632
2,790,649
2,812,667
2,815,820
2,816,821
2,819,843
2,820,845
2,821,846
2,823,847
2,824,848
2,826,852
2,828,20
2,829,44
2,831,69
2,836,135
2,840,234
2,841,473
2,842,491
2,843,589
2,845,775
2,846,823
2,847,829
2,848,831
2,849,570
2,852,826
6,14,828
6,20,829
6,26,834
6,44,839
6,69,841
6,75,842
6,77,843
6,78,846
6,79,223
6,80,225
6,98,234
6,127,240
6,132,291
6,134,301
6,143,370
6,144,372
6,202,377
6,223,464
6,224,465
6,225,470
6,234,480
6,235,481
6,240,490
6,264,491
6,271,501
6,290,504
6,291,505
6,301,512
6,306,528
6,309,534
6,315,539
6,316,540
6,356,542
6,360,549
6,364,551
6,365,553
6,366,554
6,370,567
6,372,568
6,377,570
6,464,588
6,465,589
6,470,591
6,473,592
6,475,593
6,476,597
6,480,606
6,481,610
6,483,612
6,490,617
6,491,630
6,496,632
6,499,633
6,501,682
6,504,703
6,505,708
6,509,820
6,512,821
6,528,823
6,534,826
6,539,831
6,540,836
6,542,840
6,549,845
6,551,847
6,553,848
6,554,852
6,559,20
6,567,26
6,568,78
6,570,80
6,573,98
6,588,127
6,589,132
6,591,134
6,592,144
6,593,202
6,597,224
6,601,235
6,606,264
6,610,290
6,612,306
6,613,356
6,617,360
6,622,365
6,630,366
6,632,473
6,633,475
6,649,476
6,662,483
6,667,496
6,682,499
6,703,559
6,708,573
6,759,601
6,764,622
6,771,649
6,775,662
6,776,667
6,777,759
6,778,764
6,790,771
6,795,776
6,809,777
6,811,812
6,812,824
6,815,837
6,816,849
6,819,14
6,820,44
6,821,69
6,823,75
6,824,271
6,826,315
6,828,316
6,829,364
6,831,509
6,834,775
6,836,778
6,837,809
6,839,815
6,840,816
6,841,819
6,842,77
6,843,309
6,845,613
6,846,790
6,847,795
6,848,811
6,849,812
6,852,815
7,NULL,821
7,14,829
7,20,831
7,26,836
7,44,840
7,69,842
7,75,846
7,77,847
7,78,848
7,80,849
7,98,852
7,127,NULL
7,132,20
7,134,26
7,144,44
7,153,69
7,202,75
7,223,78
7,224,98
7,225,127
7,234,316
7,235,364
7,240,365
7,264,370
7,271,372
7,290,377
7,291,407
7,301,464
7,309,468
7,315,470
7,316,472
7,360,473
7,364,475
7,365,476
7,366,480
7,370,483
7,372,491
7,377,496
7,407,499
7,464,504
7,468,505
7,470,509
7,472,512
7,473,525
7,475,528
7,476,539
7,480,540
7,481,549
7,483,554
7,491,559
7,496,567
7,498,588
7,499,589
7,504,592
7,505,593
7,509,601
7,512,606
7,525,610
7,528,612
7,534,617
7,539,622
7,540,633
7,545,662
7,549,667
7,551,682
7,553,703
7,554,708
7,559,759
7,567,771
7,573,775
7,588,776
7,589,777
7,591,778
7,592,790
7,593,795
7,601,809
7,606,811
7,610,815
7,612,816
7,613,841
7,617,843
7,622,845
7,630,14
7,633,77
7,649,132
7,662,134
7,667,144
7,682,202
7,703,224
7,708,225
7,759,235
7,764,240
7,771,290
7,775,291
7,776,301
7,777,309
7,778,315
7,790,360
7,795,366
7,809,481
7,811,498
7,815,534
7,816,545
7,819,551
7,820,553
7,821,573
7,823,591
7,824,630
7,828,764
7,829,820
7,831,823
7,834,824
7,835,828
7,836,80
7,837,153
7,839,223
7,840,649
7,841,834
7,842,835
7,843,234
7,845,271
7,846,819
7,847,837
7,848,264
7,849,839
7,852,840
10,NULL,841
10,14,843
10,20,845
10,26,846
10,44,847
10,69,848
10,75,849
10,77,852
10,78,NULL
10,80,20
10,127,26
10,132,44
10,134,69
10,135,75
10,144,127
10,153,132
10,202,134
10,223,202
10,224,235
10,225,240
10,234,364
10,235,365
10,240,366
10,264,377
10,290,407
10,291,421
10,301,465
10,306,468
10,309,470
10,315,475
10,316,499
10,356,501
10,360,504
10,364,505
10,365,508
10,366,509
10,370,520
10,372,525
10,377,528
10,407,534
10,421,551
10,465,553
10,468,573
10,470,588
10,472,589
10,473,593
10,475,597
10,476,601
10,480,610
10,481,612
10,483,616
10,490,622
10,491,632
10,496,633
10,498,649
10,499,662
10,501,703
10,504,708
10,505,759
10,508,771
10,509,823
10,520,824
10,525,828
10,528,829
10,534,831
10,539,836
10,540,837
10,542,839
10,545,840
10,549,842
10,551,14
10,553,77
10,554,78
10,559,80
10,567,135
10,568,144
10,573,153
10,588,223
10,589,224
10,591,291
10,592,301
10,593,309
10,597,315
10,601,316
10,606,356
10,610,360
10,612,370
10,613,372
10,616,476
10,617,490
10,622,496
10,630,498
10,632,540
10,633,542
10,649,549
10,662,554
10,667,559
10,682,567
10,703,568
10,708,591
10,759,592
10,763,606
10,771,630
10,775,667
10,776,682
10,777,763
10,778,776
10,790,777
10,795,809
10,809,815
10,811,816
10,815,821
10,816,834
10,819,225
10,820,234
10,821,264
10,823,306
10,824,472
10,826,473
10,828,481
10,829,491
10,831,539
10,834,545
10,836,775
10,837,778
10,839,790
10,840,795
10,841,811
10,842,819
10,843,820
10,845,826
10,846,480
10,847,483
10,848,613
10,849,617
10,852,290
14,NULL,301
14,2,306
14,6,309
14,7,360
14,10,364
14,26,365
14,69,366
14,75,372
14,98,377
14,127,421
14,134,464
14,143,465
14,144,470
14,153,472
14,202,473
14,223,475
14,224,476
14,240,480
14,264,481
14,271,490
14,290,496
14,301,498
14,306,499
14,309,501
14,360,520
14,364,525
14,365,528
14,366,534
14,372,539
14,377,540
14,407,542
14,421,553
14,464,597
14,465,601
14,468,610
14,470,612
14,472,622
14,473,630
14,475,632
14,476,633
14,480,662
14,481,667
14,490,703
14,496,708
14,498,771
14,499,775
14,501,776
14,505,790
14,512,795
14,520,809
14,525,811
14,528,816
14,534,819
14,539,821
14,540,824
14,542,828
14,545,829
14,549,831
14,551,835
14,553,836
14,554,839
14,567,841
14,570,2
14,573,6
14,588,10
14,591,26
14,597,69
14,601,75
14,606,98
14,610,127
14,612,143
14,616,153
14,622,202
14,630,223
14,632,224
14,633,240
14,662,264
14,667,290
14,703,407
14,708,505
14,759,512
14,763,551
14,771,554
14,775,573
14,776,588
14,790,591
14,795,606
14,809,616
14,811,759
14,812,763
14,815,834
14,816,843
14,819,846
14,821,848
14,824,NULL
14,828,7
14,829,134
14,831,144
14,834,271
14,835,549
14,836,567
14,839,570
14,841,812
14,843,815
14,845,545
14,846,845
14,848,846
20,NULL,847
20,2,848
20,6,849
20,7,852
20,10,NULL
20,78,2
20,80,6
20,98,7
20,127,10
20,132,98
20,134,202
20,144,224
20,153,235
20,202,264
20,223,290
20,224,291
20,225,301
20,234,365
20,235,366
20,264,465
20,271,470
20,290,473
20,291,475
20,301,480
20,306,481
20,309,490
20,315,491
20,316,505
20,364,512
20,365,525
20,366,528
20,370,534
20,372,540
