Codici Input,Report,Codici Originali,Codici Originali+Padri
"HP:0000069,HP:0000077",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000069,HP:0000077",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000069,HP:0000077",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000069,HP:0000077",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000069,HP:0000077",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000077,HP:0000144",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000077,HP:0000144",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000077,HP:0000144",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
"HP:0000079,HP:0000152",Nessuna corrispondenza," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"," ,N,a,a,c,d,e,e,i,n,n,n,o,o,p,r,r,s,s,s,u,z"
