Average Accuracy,18.31%
FirstGroup,Oracle,ExpandedFirstGroup,Accuracy,ElapsedTime
"HP:0200040, HP:0010464, HP:0002539, HP:0003202, HP:0000114","HP:0000114, HP:0000803, HP:0008909, HP:0009344, HP:0010464, HP:0011379, HP:0012037, HP:0012540","HP:0012639, HP:0000078, HP:0011355, HP:0012243, HP:0000114, HP:0000812, HP:0000008, HP:0012211, HP:0010935, HP:0000951, HP:0025245, HP:0001574, HP:0012443, HP:0000077, HP:0003011, HP:0002060, HP:0000137, HP:0000118, HP:0000119, HP:0010464, HP:0011805, HP:0000079, HP:0002538, HP:0200040, HP:0000707, HP:0002539, HP:0010462, HP:0033127, HP:0008724, HP:0100547, HP:0000124, HP:0031065, HP:0011121, HP:0002011, HP:0003202",25.0%,88.83886790275574
"HP:0002164, HP:0008873, HP:0003073, HP:0012518","HP:0008675, HP:0008695, HP:0008873, HP:0010330, HP:0010624, HP:0012518, HP:0200050","HP:0001507, HP:0001939, HP:0032180, HP:0009145, HP:0012518, HP:0001597, HP:0012116, HP:0025015, HP:0001574, HP:0011138, HP:0033353, HP:0011004, HP:0000118, HP:0004322, HP:0000002, HP:0003073, HP:0002597, HP:0010876, HP:0008873, HP:0001626, HP:0003498, HP:0002164",28.57%,77.50908374786377
"HP:0001357, HP:0001000, HP:0001249, HP:0012876","HP:0001357, HP:0001419, HP:0004736, HP:0012631, HP:0012876, HP:3000007","HP:0000080, HP:0000078, HP:0000929, HP:0011446, HP:0001000, HP:0000951, HP:0012875, HP:0001574, HP:0001249, HP:0001357, HP:0000118, HP:0000119, HP:0000234, HP:0000152, HP:0000707, HP:0012638, HP:0002683, HP:0011121, HP:0012874, HP:0012876",33.33%,48.6719868183136
"HP:0012622, HP:0008222, HP:0001288","HP:0000815, HP:0000868, HP:0010285, HP:0010360, HP:0012213","HP:0000118, HP:0000119, HP:0000079, HP:0000083, HP:0000080, HP:0012622, HP:0000078, HP:0000789, HP:0000707, HP:0012638, HP:0012211, HP:0001288, HP:0100022, HP:0010935, HP:0000077, HP:0008222, HP:0000144",0.0%,92.76731967926025
"HP:0000093, HP:0006482, HP:0010010, HP:0000789, HP:0010934","HP:0000144, HP:0000676, HP:0001966, HP:0010022, HP:0011814, HP:0012596","HP:0001939, HP:0000153, HP:0000080, HP:0000078, HP:0000144, HP:0000789, HP:0003110, HP:0031816, HP:0010934, HP:0010010, HP:0020129, HP:0005922, HP:0005916, HP:0001155, HP:0000164, HP:0006482, HP:0040064, HP:0000118, HP:0000119, HP:0002817, HP:0033354, HP:0000152, HP:0000093, HP:0000234, HP:0000271, HP:0000163",16.67%,60.10770511627197
"HP:0000140, HP:0000020, HP:0100799, HP:0000508, HP:0033353","HP:0000009, HP:0000140, HP:0000581, HP:0002490, HP:0007110, HP:0012695, HP:0100799, HP:3000039","HP:0000020, HP:0000080, HP:0000078, HP:0000598, HP:0000478, HP:0100799, HP:0025015, HP:0010936, HP:0030012, HP:0033353, HP:0000118, HP:0000119, HP:0000079, HP:0000009, HP:0012373, HP:0031703, HP:0000508, HP:0002597, HP:0000370, HP:0000014, HP:0001626, HP:0000140",37.5%,64.9196629524231
"HP:0000789, HP:0001363, HP:0001696, HP:0003319, HP:0002668, HP:0000691, HP:0008661","HP:0002666, HP:0003363, HP:0004558, HP:0006293, HP:0006888, HP:0008222, HP:0010957","HP:0012639, HP:0100007, HP:0000789, HP:0000925, HP:0000929, HP:0006482, HP:0010936, HP:0000118, HP:0003319, HP:0000795, HP:0000707, HP:0004307, HP:0033127, HP:0001626, HP:0011842, HP:0002683, HP:0002668, HP:0000271, HP:0000163, HP:0000153, HP:0000080, HP:0000078, HP:0031816, HP:0000164, HP:0001651, HP:0001363, HP:0000796, HP:0001627, HP:0000924, HP:0030680, HP:0000119, HP:0000691, HP:0009121, HP:0000759, HP:0000079, HP:0000152, HP:0100634, HP:0008661, HP:0000234, HP:0001696, HP:0000144",0.0%,52.27718544006348
"HP:0009772, HP:0004324, HP:0001733, HP:0002750, HP:0000366, HP:0000107, HP:0004979, HP:0001156, HP:0000280","HP:0000098, HP:0000108, HP:0001733, HP:0003029, HP:0004257, HP:0004979, HP:0009772, HP:0010938","HP:0001507, HP:0002813, HP:0009772, HP:0004286, HP:0001732, HP:0011001, HP:0000107, HP:0000077, HP:0000118, HP:0011843, HP:0000280, HP:0033127, HP:0011842, HP:0004979, HP:0004348, HP:0000271, HP:0011844, HP:0002012, HP:0012091, HP:0000944, HP:0003330, HP:0004281, HP:0011297, HP:0000927, HP:0010935, HP:0000366, HP:0004054, HP:0012210, HP:0004323, HP:0000924, HP:0000119, HP:0001733, HP:0000079, HP:0002750, HP:0001156, HP:0001999, HP:0000152, HP:0011927, HP:0004324, HP:0000234, HP:0025031, HP:0011849",37.5%,95.51029920578003
"HP:0011069, HP:0000098, HP:0100678, HP:0001376, HP:0100255, HP:0000508, HP:0011126","HP:0003517, HP:0005899, HP:0005995, HP:0007911, HP:0011089, HP:0011729, HP:0100542","HP:0001507, HP:0002813, HP:0011729, HP:0001376, HP:0000478, HP:0000951, HP:0000077, HP:0000118, HP:0011069, HP:0012373, HP:0011843, HP:0033127, HP:0100678, HP:0011842, HP:0011844, HP:0000271, HP:0000163, HP:0000153, HP:0000944, HP:0031816, HP:0100255, HP:0000098, HP:0000164, HP:0100542, HP:0010935, HP:0006483, HP:0001574, HP:0012210, HP:0034430, HP:0000924, HP:0000119, HP:0000079, HP:0011126, HP:0000002, HP:0000508, HP:0000152, HP:0011354, HP:0007495, HP:0000234, HP:0011121",28.57%,59.6823456287384
"HP:0000813, HP:0002857, HP:0007827, HP:6000920, HP:0000381, HP:0002150","HP:0000152, HP:0000813, HP:0001149, HP:0002150, HP:0002857, HP:0008628","HP:0000481, HP:0000925, HP:0003110, HP:0012243, HP:0008609, HP:0000598, HP:0000812, HP:0000008, HP:0000478, HP:0040064, HP:0002981, HP:0007827, HP:0012372, HP:0000118, HP:0000381, HP:0002979, HP:0004328, HP:0003319, HP:0031703, HP:0000370, HP:0011280, HP:0033127, HP:0000130, HP:0011842, HP:0002814, HP:0008628, HP:0031105, HP:0001939, HP:0000078, HP:0002150, HP:0007957, HP:0002857, HP:0012591, HP:0004452, HP:0000813, HP:0000924, HP:0007759, HP:0000119, HP:0009121, HP:0046508, HP:6000920, HP:0011494",66.67%,52.17650556564331
