Codici Input,Report,Codici Originali,Codici Originali+Padri
"HP:0000069,HP:0000077",not found,,
"HP:0000075,HP:0000098",not found,,
"HP:0000077,HP:0000144",not found,,
"HP:0000079,HP:0000152",not found,,
"HP:0000080,HP:0000264",not found,,
"HP:0000098,HP:0000271",not found,,
"HP:0000119,HP:0000290",not found,,
"HP:0000127,HP:0000306",not found,,
"HP:0000144,HP:0000309",not found,,
"HP:0000152,HP:0000316",not found,,
"HP:0000153,HP:0000359",not found,,
"HP:0000223,HP:0000360",not found,,
"HP:0000224,HP:0000364",not found,,
"HP:0000234,HP:0000365",not found,,
"HP:0000235,HP:0000366",not found,,
"HP:0000240,HP:0000372",not found,,
"HP:0000264,HP:0000464",not found,,
"HP:0000271,HP:0000465",not found,,
"HP:0000290,HP:0000472",not found,,
"HP:0000291,HP:0000520",not found,,
"HP:0000306,HP:0000525",not found,,
"HP:0000309,HP:0000528",not found,,
"HP:0000315,HP:0000534",not found,,
"HP:0000316,HP:0000540",not found,,
"HP:0000356,HP:0000542",not found,,
"HP:0000359,HP:0000545",not found,,
"HP:0000360,HP:0000549",not found,,
"HP:0000364,HP:0000551",not found,,
"HP:0000365,HP:0000553",not found,,
"HP:0000366,HP:0000554",not found,,
"HP:0000370,HP:0000568",not found,,
"HP:0000372,HP:0000570",not found,,
"HP:0000377,HP:0000588",not found,,
"HP:0000464,HP:0000589",not found,,
"HP:0000465,HP:0000591",not found,,
"HP:0000472,HP:0000592",not found,,
"HP:0000475,HP:0000593",not found,,
"HP:0000478,HP:0000759",not found,,
"HP:0000481,HP:0000763",not found,,
"HP:0000490,HP:0000769",not found,,
"HP:0000496,HP:0000771",not found,,
"HP:0000501,HP:0000775",not found,,
"HP:0000505,HP:0000777",not found,,
"HP:0000508,HP:0000778",not found,,
"HP:0000512,HP:0000795",not found,,
"HP:0000517,HP:0000809",not found,,
"HP:0000520,HP:0000811",not found,,
"HP:0000525,HP:0000812",not found,,
"HP:0000528,HP:0000816",not found,,
"HP:0000534,HP:0000820",not found,,
"HP:0000540,HP:0000823",not found,,
"HP:0000542,HP:0000828",not found,,
"HP:0000545,HP:0000829",not found,,
