phenotype1,phenotype2,phenotype3
NULL,HP0000069,HP0000077
NULL,HP0000075,HP0000098
NULL,HP0000077,HP0000144
NULL,HP0000079,HP0000152
NULL,HP0000080,HP0000264
NULL,HP0000098,HP0000271
NULL,HP0000119,HP0000290
NULL,HP0000127,HP0000306
NULL,HP0000144,HP0000309
NULL,HP0000152,HP0000316
NULL,HP0000153,HP0000359
NULL,HP0000223,HP0000360
NULL,HP0000224,HP0000364
NULL,HP0000234,HP0000365
NULL,HP0000235,HP0000366
NULL,HP0000240,HP0000372
NULL,HP0000264,HP0000464
NULL,HP0000271,HP0000465
NULL,HP0000290,HP0000472
NULL,HP0000291,HP0000520
NULL,HP0000306,HP0000525
NULL,HP0000309,HP0000528
NULL,HP0000315,HP0000534
NULL,HP0000316,HP0000540
NULL,HP0000356,HP0000542
NULL,HP0000359,HP0000545
NULL,HP0000360,HP0000549
NULL,HP0000364,HP0000551
NULL,HP0000365,HP0000553
NULL,HP0000366,HP0000554
NULL,HP0000370,HP0000568
NULL,HP0000372,HP0000570
NULL,HP0000377,HP0000588
NULL,HP0000464,HP0000589
NULL,HP0000465,HP0000591
NULL,HP0000472,HP0000592
NULL,HP0000475,HP0000593
NULL,HP0000478,HP0000759
NULL,HP0000481,HP0000763
NULL,HP0000490,HP0000769
NULL,HP0000496,HP0000771
NULL,HP0000501,HP0000775
NULL,HP0000505,HP0000777
NULL,HP0000508,HP0000778
NULL,HP0000512,HP0000795
NULL,HP0000517,HP0000809
NULL,HP0000520,HP0000811
NULL,HP0000525,HP0000812
NULL,HP0000528,HP0000816
NULL,HP0000534,HP0000820
NULL,HP0000540,HP0000823
NULL,HP0000542,HP0000828
NULL,HP0000545,HP0000829
NULL,HP0000549,HP0000834
NULL,HP0000551,HP0000835
NULL,HP0000553,HP0000836
NULL,HP0000554,HP0000839
NULL,HP0000568,HP0000840
NULL,HP0000570,HP0000841
NULL,HP0000588,HP0000842
NULL,HP0000589,HP0000846
NULL,HP0000591,HP0000847
NULL,HP0000592,HP0000848
NULL,HP0000593,HP0000849
NULL,HP0000597,HP0000852
NULL,HP0000601,HP0000853
NULL,HP0000606,HP0000855
NULL,HP0000610,HP0000857
NULL,HP0000613,HP0000863
NULL,HP0000617,HP0000872
NULL,HP0000622,HP0000873
NULL,HP0000632,HP0000877
NULL,HP0000633,HP0000924
NULL,HP0000649,HP0000927
NULL,HP0000657,HP0000929
NULL,HP0000662,HP0000943
NULL,HP0000708,HP0000951
NULL,HP0000743,HP0000965
NULL,HP0000759,HP0000966
NULL,HP0000763,HP0000969
NULL,HP0000769,HP0000971
NULL,HP0000771,HP0000975
NULL,HP0000775,HP0000978
NULL,HP0000777,HP0000979
NULL,HP0000778,HP0000980
NULL,HP0000795,HP0000989
NULL,HP0000809,HP0001000
NULL,HP0000811,HP0001001
NULL,HP0000812,HP0001009
NULL,HP0000816,HP0001025
NULL,HP0000820,HP0001028
NULL,HP0000821,HP0001029
NULL,HP0000823,HP0001067
NULL,HP0000826,HP0001072
NULL,HP0000828,HP0001090
NULL,HP0000829,HP0001098
NULL,HP0000831,HP0001155
NULL,HP0000834,HP0001194
NULL,HP0000835,HP0001195
NULL,HP0000836,HP0001196
NULL,HP0000839,HP0001197
NULL,HP0000840,HP0001218
NULL,HP0000841,HP0001231
NULL,HP0000842,HP0001249
NULL,HP0000843,HP0000069
NULL,HP0000846,HP0000075
NULL,HP0000847,HP0000079
NULL,HP0000848,HP0000080
NULL,HP0000849,HP0000119
NULL,HP0000852,HP0000127
NULL,HP0000853,HP0000153
NULL,HP0000855,HP0000223
NULL,HP0000857,HP0000224
NULL,HP0000859,HP0000234
NULL,HP0000863,HP0000235
NULL,HP0000872,HP0000240
NULL,HP0000873,HP0000315
NULL,HP0000877,HP0000370
NULL,HP0000924,HP0000377
NULL,HP0000927,HP0000475
NULL,HP0000929,HP0000481
NULL,HP0000943,HP0000490
NULL,HP0000951,HP0000496
NULL,HP0000958,HP0000501
NULL,HP0000965,HP0000508
NULL,HP0000966,HP0000512
NULL,HP0000969,HP0000597
NULL,HP0000970,HP0000601
NULL,HP0000971,HP0000610
NULL,HP0000975,HP0000613
NULL,HP0000978,HP0000617
NULL,HP0000979,HP0000622
NULL,HP0000980,HP0000632
NULL,HP0000989,HP0000633
NULL,HP0001000,HP0000649
NULL,HP0001001,HP0000657
NULL,HP0001009,HP0000662
NULL,HP0001025,HP0000708
NULL,HP0001028,HP0000743
NULL,HP0001029,HP0000821
NULL,HP0001067,HP0000831
NULL,HP0001072,HP0000843
NULL,HP0001087,HP0000859
NULL,HP0001090,HP0000970
NULL,HP0001098,HP0001087
NULL,HP0001155,HP0000291
NULL,HP0001167,HP0000356
NULL,HP0001194,HP0000505
NULL,HP0001195,HP0000517
NULL,HP0001196,HP0000606
NULL,HP0001197,HP0000826
NULL,HP0001218,HP0000958
NULL,HP0001231,HP0001167
NULL,HP0001249,HP0000478
HP0000002,HP0000079,HP0000481
HP0000002,HP0000119,HP0000490
HP0000002,HP0000127,HP0000496
HP0000002,HP0000135,HP0000501
HP0000002,HP0000144,HP0000504
HP0000002,HP0000152,HP0000505
HP0000002,HP0000240,HP0000508
HP0000002,HP0000271,HP0000512
HP0000002,HP0000290,HP0000517
HP0000002,HP0000306,HP0000534
HP0000002,HP0000309,HP0000553
HP0000002,HP0000316,HP0000554
HP0000002,HP0000364,HP0000568
HP0000002,HP0000365,HP0000570
HP0000002,HP0000366,HP0000588
HP0000002,HP0000370,HP0000592
HP0000002,HP0000372,HP0000593
HP0000002,HP0000377,HP0000597
HP0000002,HP0000464,HP0000598
HP0000002,HP0000465,HP0000601
HP0000002,HP0000478,HP0000763
HP0000002,HP0000481,HP0000764
HP0000002,HP0000490,HP0000771
HP0000002,HP0000496,HP0000775
HP0000002,HP0000501,HP0000777
HP0000002,HP0000504,HP0000795
HP0000002,HP0000505,HP0000811
HP0000002,HP0000508,HP0000812
HP0000002,HP0000512,HP0000820
HP0000002,HP0000517,HP0000821
HP0000002,HP0000525,HP0000823
HP0000002,HP0000528,HP0000828
HP0000002,HP0000534,HP0000831
HP0000002,HP0000553,HP0000834
HP0000002,HP0000554,HP0000835
HP0000002,HP0000568,HP0000841
HP0000002,HP0000570,HP0000842
HP0000002,HP0000588,HP0000843
HP0000002,HP0000589,HP0000847
HP0000002,HP0000591,HP0000849
HP0000002,HP0000592,HP0000852
HP0000002,HP0000593,HP0000853
HP0000002,HP0000597,HP0000855
HP0000002,HP0000598,HP0000857
HP0000002,HP0000601,HP0000859
HP0000002,HP0000606,HP0000863
HP0000002,HP0000610,HP0000864
HP0000002,HP0000613,HP0000872
HP0000002,HP0000617,HP0000873
HP0000002,HP0000622,HP0000877
HP0000002,HP0000632,HP0000924
HP0000002,HP0000649,HP0000929
HP0000002,HP0000657,HP0000943
HP0000002,HP0000662,HP0000958
HP0000002,HP0000667,HP0000965
HP0000002,HP0000708,HP0000966
HP0000002,HP0000743,HP0000969
HP0000002,HP0000759,HP0000970
HP0000002,HP0000763,HP0000971
HP0000002,HP0000764,HP0000975
HP0000002,HP0000769,HP0000979
HP0000002,HP0000771,HP0001000
HP0000002,HP0000775,HP0001001
HP0000002,HP0000777,HP0001009
HP0000002,HP0000795,HP0001014
HP0000002,HP0000811,HP0001025
HP0000002,HP0000812,HP0001028
HP0000002,HP0000820,HP0001029
HP0000002,HP0000821,HP0001067
HP0000002,HP0000823,HP0001072
HP0000002,HP0000826,HP0001087
HP0000002,HP0000828,HP0001155
HP0000002,HP0000829,HP0001167
HP0000002,HP0000831,HP0001194
HP0000002,HP0000834,HP0001196
HP0000002,HP0000835,HP0001197
HP0000002,HP0000841,HP0001218
HP0000002,HP0000842,HP0001231
HP0000002,HP0000843,HP0001249
HP0000002,HP0000846,HP0000079
HP0000002,HP0000847,HP0000119
HP0000002,HP0000848,HP0000144
HP0000002,HP0000849,HP0000152
HP0000002,HP0000852,HP0000240
HP0000002,HP0000853,HP0000271
HP0000002,HP0000855,HP0000290
HP0000002,HP0000857,HP0000309
HP0000002,HP0000859,HP0000316
HP0000002,HP0000863,HP0000364
HP0000002,HP0000864,HP0000372
HP0000002,HP0000872,HP0000377
HP0000002,HP0000873,HP0000465
HP0000002,HP0000877,HP0000478
HP0000002,HP0000924,HP0000525
HP0000002,HP0000927,HP0000528
HP0000002,HP0000929,HP0000589
HP0000002,HP0000943,HP0000591
HP0000002,HP0000958,HP0000606
HP0000002,HP0000965,HP0000610
HP0000002,HP0000966,HP0000617
HP0000002,HP0000969,HP0000622
HP0000002,HP0000970,HP0000632
HP0000002,HP0000971,HP0000649
HP0000002,HP0000975,HP0000657
HP0000002,HP0000978,HP0000662
HP0000002,HP0000979,HP0000667
HP0000002,HP0001000,HP0000708
HP0000002,HP0001001,HP0000743
HP0000002,HP0001009,HP0000759
HP0000002,HP0001014,HP0000826
HP0000002,HP0001025,HP0000829
HP0000002,HP0001028,HP0000846
HP0000002,HP0001029,HP0000848
HP0000002,HP0001067,HP0000927
HP0000002,HP0001072,HP0000978
HP0000002,HP0001087,HP0001090
HP0000002,HP0001090,HP0000127
HP0000002,HP0001155,HP0000135
HP0000002,HP0001167,HP0000306
HP0000002,HP0001194,HP0000366
HP0000002,HP0001196,HP0000370
HP0000002,HP0001197,HP0000613
HP0000002,HP0001218,HP0000769
HP0000002,HP0001231,HP0000365
HP0000002,HP0001249,HP0000464
HP0000014,HP0000069,HP0000465
HP0000014,HP0000075,HP0000472
HP0000014,HP0000077,HP0000475
HP0000014,HP0000098,HP0000481
HP0000014,HP0000127,HP0000490
HP0000014,HP0000135,HP0000496
HP0000014,HP0000144,HP0000501
HP0000014,HP0000152,HP0000504
HP0000014,HP0000153,HP0000505
HP0000014,HP0000223,HP0000508
HP0000014,HP0000224,HP0000517
HP0000014,HP0000234,HP0000528
HP0000014,HP0000235,HP0000534
HP0000014,HP0000240,HP0000540
HP0000014,HP0000271,HP0000545
HP0000014,HP0000290,HP0000549
HP0000014,HP0000306,HP0000551
HP0000014,HP0000309,HP0000554
HP0000014,HP0000315,HP0000568
HP0000014,HP0000316,HP0000570
HP0000014,HP0000356,HP0000588
HP0000014,HP0000359,HP0000589
HP0000014,HP0000360,HP0000591
HP0000014,HP0000364,HP0000592
HP0000014,HP0000365,HP0000593
HP0000014,HP0000366,HP0000597
HP0000014,HP0000370,HP0000601
HP0000014,HP0000372,HP0000606
HP0000014,HP0000377,HP0000610
HP0000014,HP0000464,HP0000613
HP0000014,HP0000465,HP0000616
HP0000014,HP0000472,HP0000617
HP0000014,HP0000475,HP0000622
HP0000014,HP0000476,HP0000632
HP0000014,HP0000481,HP0000633
HP0000014,HP0000490,HP0000649
HP0000014,HP0000496,HP0000662
HP0000014,HP0000501,HP0000667
HP0000014,HP0000504,HP0000708
HP0000014,HP0000505,HP0000743
HP0000014,HP0000508,HP0000759
HP0000014,HP0000517,HP0000763
HP0000014,HP0000520,HP0000771
HP0000014,HP0000525,HP0000775
HP0000014,HP0000528,HP0000777
HP0000014,HP0000534,HP0000778
HP0000014,HP0000539,HP0000795
HP0000014,HP0000540,HP0000809
HP0000014,HP0000542,HP0000811
HP0000014,HP0000545,HP0000812
HP0000014,HP0000549,HP0000816
HP0000014,HP0000551,HP0000820
HP0000014,HP0000553,HP0000821
HP0000014,HP0000554,HP0000823
HP0000014,HP0000568,HP0000828
HP0000014,HP0000570,HP0000829
HP0000014,HP0000588,HP0000831
HP0000014,HP0000589,HP0000834
HP0000014,HP0000591,HP0000835
HP0000014,HP0000592,HP0000836
HP0000014,HP0000593,HP0000839
HP0000014,HP0000597,HP0000840
HP0000014,HP0000598,HP0000841
HP0000014,HP0000601,HP0000842
HP0000014,HP0000606,HP0000843
HP0000014,HP0000610,HP0000846
HP0000014,HP0000613,HP0000847
HP0000014,HP0000616,HP0000848
HP0000014,HP0000617,HP0000853
HP0000014,HP0000622,HP0000855
HP0000014,HP0000632,HP0000859
HP0000014,HP0000633,HP0000863
HP0000014,HP0000649,HP0000864
HP0000014,HP0000657,HP0000872
HP0000014,HP0000662,HP0000873
HP0000014,HP0000667,HP0000924
HP0000014,HP0000707,HP0000929
HP0000014,HP0000708,HP0000943
HP0000014,HP0000743,HP0000951
HP0000014,HP0000759,HP0000958
HP0000014,HP0000763,HP0000966
HP0000014,HP0000764,HP0000979
HP0000014,HP0000769,HP0000980
HP0000014,HP0000771,HP0001001
HP0000014,HP0000775,HP0001009
HP0000014,HP0000777,HP0001014
HP0000014,HP0000778,HP0001028
HP0000014,HP0000795,HP0001029
HP0000014,HP0000809,HP0001067
HP0000014,HP0000811,HP0001072
HP0000014,HP0000812,HP0001087
HP0000014,HP0000816,HP0001098
HP0000014,HP0000820,HP0001155
HP0000014,HP0000821,HP0001167
HP0000014,HP0000823,HP0001194
HP0000014,HP0000826,HP0001195
HP0000014,HP0000828,HP0001196
HP0000014,HP0000829,HP0001197
HP0000014,HP0000831,HP0001218
HP0000014,HP0000834,HP0001231
HP0000014,HP0000835,HP0001249
HP0000014,HP0000836,HP0001250
HP0000014,HP0000839,HP0000069
HP0000014,HP0000840,HP0000075
HP0000014,HP0000841,HP0000077
HP0000014,HP0000842,HP0000098
HP0000014,HP0000843,HP0000127
