HPO_IDs,Count
HP:0001249,64
HP:0003593,55
HP:0001250,53
HP:0001263,51
HP:0004322,50
HP:0003577,50
HP:0000252,47
HP:0011463,42
HP:0000006,36
HP:0000407,35
HP:0002650,35
HP:0003621,32
HP:0001252,32
HP:0010864,30
HP:0001337,29
HP:0000639,29
HP:0001260,28
HP:0003581,28
HP:0000347,28
HP:0001270,28
HP:0001290,27
HP:0000316,27
HP:0000028,25
HP:0000175,25
HP:0000365,24
HP:0001251,24
HP:0000486,24
HP:0001596,23
HP:0000613,23
HP:0000518,23
HP:0001258,22
HP:0003596,22
HP:0002936,22
HP:0000508,22
HP:0002240,21
HP:0001257,21
HP:0000662,21
HP:0000648,20
HP:0001508,20
HP:0000543,20
HP:0001133,20
HP:0003155,20
HP:0000750,20
HP:0000978,20
HP:0001762,20
HP:0001510,19
HP:0003677,19
HP:0005280,19
HP:0011462,19
HP:0000787,18
HP:0001284,18
HP:0010783,18
HP:0001265,18
HP:0000369,18
HP:0011800,18
HP:0000272,18
HP:0003693,18
HP:0003202,18
Mobile:,17
HP:0000494,17
HP:0200134,17
HP:0000519,17
HP:0001903,17
HP:0000612,17
HP:0002015,17
HP:0000218,17
HP:0000256,16
HP:0000431,16
HP:0000023,16
HP:0002119,16
HP:0000505,16
HP:0002540,16
HP:0000938,15
HP:0004409,15
HP:0000729,15
HP:0003510,15
HP:0001371,15
HP:0001744,15
HP:0007663,15
HP:0011968,15
HP:0002460,15
HP:0003676,15
HP:0001324,15
HP:0001272,15
HP:0000160,15
HP:0001426,15
HP:0001336,15
HP:0002079,14
HP:0011001,14
HP:0006887,14
HP:0003584,14
HP:0001363,14
HP:0001999,14
HP:0002515,14
HP:0001199,14
HP:0001347,14
HP:0000821,14
HP:0000490,14
HP:0002150,14
HP:0003623,14
HP:0000967,14
HP:0003026,14
HP:0001332,14
HP:0000952,14
HP:0002063,14
HP:0003198,14
HP:0003186,14
HP:0000510,14
HP:0000726,14
HP:0000358,13
HP:0000062,13
HP:0000343,13
HP:0003128,13
HP:0007688,13
HP:0000520,13
HP:0011220,13
HP:0000054,13
HP:0002120,13
HP:0001733,13
HP:0001511,13
HP:0003236,13
HP:0001696,13
HP:0008404,13
HP:0003072,13
HP:0001348,13
HP:0002151,13
HP:0000670,13
HP:0008064,13
HP:0002344,13
HP:0003487,13
HP:0002910,13
HP:0001972,13
HP:0002066,13
HP:0000253,13
HP:0000771,12
HP:0000103,12
HP:0007787,12
HP:0000979,12
HP:0000767,12
HP:0002829,12
HP:0000601,12
HP:0008936,12
HP:0000568,12
HP:0008734,12
HP:0001288,12
HP:0001397,12
HP:0000470,12
HP:0001839,12
HP:0000972,12
HP:0000926,12
HP:0012408,12
HP:0001276,12
HP:0001629,12
HP:0000768,12
HP:0000238,12
HP:0002072,12
HP:0002721,12
HP:0001382,12
HP:0002315,12
HP:0003745,12
HP:0002751,12
HP:0002282,12
HP:0000219,12
HP:0000592,12
HP:0000656,12
HP:0002758,12
HP:0007843,12
HP:0003774,12
HP:0002239,11
HP:0002750,11
HP:0008070,11
HP:0003429,11
HP:0001433,11
HP:0003811,11
HP:0001876,11
HP:0001204,11
HP:0000121,11
HP:0002136,11
HP:0000824,11
HP:0004912,11
HP:0007502,11
HP:0000164,11
HP:0001171,11
HP:0011108,11
HP:0000822,11
HP:0000939,11
HP:0002937,11
HP:0002036,11
HP:0000556,11
HP:0001274,11
HP:0000280,11
HP:0001410,11
HP:0001644,11
HP:0000037,11
HP:0001256,11
HP:0012265,11
HP:0002671,11
