HPO_ID,Count,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10,Level_11,Level_12,Level_13,Level_14,Level_15,Level_16
HP:0001249,64,HP:0001249,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,
HP:0003593,55,HP:0003593,HP:0410280,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0001250,53,HP:0001250,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0001263,51,HP:0001263,HP:0012758,HP:0012759,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0004322,50,HP:0004322,HP:0000002,HP:0001507,HP:0000118,HP:0000001,,,,,,,,,,,
HP:0003577,50,HP:0003577,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,,
HP:0000252,47,HP:0000252,HP:0007364,HP:0002060,HP:0100547,HP:0012443,HP:0002011,HP:0012639,HP:0000707,HP:0000118,HP:0000001,,,,,,
HP:0011463,42,HP:0011463,HP:0410280,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0000006,36,HP:0000006,HP:0034345,HP:0000005,HP:0000001,,,,,,,,,,,,
HP:0000407,35,HP:0000407,HP:0000365,HP:0000364,HP:0031704,HP:0000598,HP:0000118,HP:0000001,,,,,,,,,
HP:0002650,35,HP:0002650,HP:0010674,HP:0000925,HP:0009121,HP:0011842,HP:0000924,HP:0033127,HP:0000118,HP:0000001,,,,,,,
HP:0003621,32,HP:0003621,HP:0410280,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,
HP:0001252,32,HP:0001252,HP:0003808,HP:0011804,HP:0003011,HP:0033127,HP:0000118,HP:0000001,,,,,,,,,
HP:0010864,30,HP:0010864,HP:0001249,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0001337,29,HP:0001337,HP:0004305,HP:0011442,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,,,,
HP:0000639,29,HP:0000639,HP:0012547,HP:0000496,HP:0012373,HP:0000478,HP:0000118,HP:0000001,,,,,,,,,
HP:0001260,28,HP:0001260,HP:0002167,HP:4000072,HP:0034434,HP:0025792,HP:0011446,HP:0012638,HP:0000707,HP:0000118,HP:0000001,,,,,,
HP:0003581,28,HP:0003581,HP:0003674,HP:0031797,HP:0012823,HP:0000001,,,,,,,,,,,
HP:0000347,28,HP:0000347,HP:0009118,HP:0000277,HP:0030791,HP:0011821,HP:0000929,HP:0000234,HP:0000152,HP:0000118,HP:0000001,,,,,,
