Codici Input,Codici Originali,Codici Originali+Padri,Report
"phenotype1,phenotype2,phenotype3",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000069,HP0000077",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000075,HP0000098",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000077,HP0000144",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000079,HP0000152",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000080,HP0000264",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000098,HP0000271",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000119,HP0000290",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000127,HP0000306",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000144,HP0000309",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000152,HP0000316",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000153,HP0000359",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000223,HP0000360",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000224,HP0000364",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000234,HP0000365",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000235,HP0000366",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000240,HP0000372",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000264,HP0000464",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000271,HP0000465",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000290,HP0000472",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000291,HP0000520",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000306,HP0000525",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000309,HP0000528",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000315,HP0000534",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000316,HP0000540",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000356,HP0000542",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000359,HP0000545",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000360,HP0000549",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000364,HP0000551",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000365,HP0000553",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000366,HP0000554",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000370,HP0000568",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000372,HP0000570",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000377,HP0000588",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000464,HP0000589",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000465,HP0000591",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000472,HP0000592",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000475,HP0000593",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000478,HP0000759",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000481,HP0000763",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000490,HP0000769",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000496,HP0000771",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000501,HP0000775",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000505,HP0000777",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000508,HP0000778",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000512,HP0000795",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000517,HP0000809",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000520,HP0000811",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000525,HP0000812",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000528,HP0000816",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000534,HP0000820",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000540,HP0000823",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000542,HP0000828",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP0000545,HP0000829",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
