0,1,2,3
"HP:0000075,HP:0000098",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000080,HP:0000264",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000127,HP:0000306",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000144,HP:0000309",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000223,HP:0000360",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000224,HP:0000364",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000240,HP:0000372",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000264,HP:0000464",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000290,HP:0000472",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000291,HP:0000520",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000309,HP:0000528",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000316,HP:0000540",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000360,HP:0000549",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000364,HP:0000551",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000370,HP:0000568",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000372,HP:0000570",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000377,HP:0000588",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000464,HP:0000589",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000465,HP:0000591",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000472,HP:0000592",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000475,HP:0000593",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000490,HP:0000769",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000496,HP:0000771",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000501,HP:0000775",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000505,HP:0000777",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000508,HP:0000778",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000517,HP:0000809",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000528,HP:0000816",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000540,HP:0000823",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000542,HP:0000828",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000545,HP:0000829",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000551,HP:0000835",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000554,HP:0000839",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000568,HP:0000840",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000570,HP:0000841",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000588,HP:0000842",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000589,HP:0000846",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000591,HP:0000847",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000592,HP:0000848",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000593,HP:0000849",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000597,HP:0000852",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000601,HP:0000853",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000606,HP:0000855",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000610,HP:0000857",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000613,HP:0000863",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
"HP:0000617,HP:0000872",Nessuna corrispondenza,Nessuna corrispondenza,Nessuna corrispondenza
