HPO_ID,Total_Count
HP:0001249,207
HP:0011446,1162
HP:0012638,4038
HP:0000707,6826
HP:0000118,56258
HP:0000001,57063
HP:0003593,110
HP:0410280,129
HP:0003674,304
HP:0031797,429
HP:0012823,534
HP:0001250,427
HP:0001263,128
HP:0012758,133
HP:0012759,185
HP:0004322,245
HP:0000002,255
HP:0001507,457
HP:0003577,100
HP:0000252,127
HP:0007364,153
HP:0002060,737
HP:0100547,820
HP:0012443,1459
HP:0002011,2275
HP:0012639,2748
HP:0011463,84
HP:0000006,72
HP:0034345,69
HP:0000005,176
HP:0000407,145
HP:0000365,261
HP:0000364,270
HP:0031704,306
HP:0000598,1225
HP:0002650,133
HP:0010674,171
HP:0000925,1139
HP:0009121,1824
HP:0011842,5965
HP:0000924,6079
HP:0033127,8495
HP:0003621,64
HP:0001252,147
HP:0003808,302
HP:0011804,845
HP:0003011,1656
HP:0010864,60
HP:0001337,116
HP:0004305,214
HP:0011442,645
HP:0000639,148
HP:0012547,149
HP:0000496,464
HP:0012373,1176
HP:0000478,3329
HP:0001260,67
HP:0002167,201
HP:4000072,196
HP:0034434,216
HP:0025792,227
HP:0003581,118
HP:0000347,76
HP:0009118,63
HP:0000277,185
HP:0030791,250
HP:0011821,280
HP:0000929,1026
HP:0000234,4910
HP:0000152,4994
HP:0001270,69
HP:0001290,64
HP:0000316,54
HP:0100886,87
HP:0012372,2153
HP:0000028,62
HP:0000035,180
HP:0000032,414
HP:0000811,581
HP:0012243,1081
HP:0000078,1357
HP:0000119,2760
HP:0000175,85
HP:0000174,189
HP:0000163,1625
HP:0031816,1631
HP:0000153,1775
HP:0000271,3862
HP:0001251,153
HP:0011443,198
HP:0000486,87
HP:0000549,93
HP:0001596,82
HP:0011362,257
HP:0001595,627
HP:0011138,1011
HP:0001574,3008
HP:0000613,46
HP:0000504,365
HP:0000518,266
HP:0000517,323
HP:0004328,780
HP:0001258,51
HP:0002061,53
HP:0034353,62
HP:0001257,142
HP:0001276,189
HP:0003596,44
HP:0002936,54
HP:0003474,154
HP:0000508,88
HP:0002240,47
HP:0003271,67
HP:0001438,118
HP:0025031,2071
HP:0000662,52
HP:0000648,46
HP:0012795,81
HP:0000587,142
HP:0001098,855
HP:0004329,916
HP:0001508,56
HP:0004325,77
HP:0004323,118
HP:0000543,50
HP:0001133,45
HP:0001123,87
HP:0000505,190
HP:0003155,75
HP:0004379,111
HP:0012379,312
HP:0034684,312
HP:0001939,3597
HP:0000750,91
HP:0000978,40
HP:0001933,61
HP:0001892,223
HP:0001871,1838
HP:0001762,50
HP:0001883,62
HP:0005656,66
HP:0001760,3926
HP:0002814,4276
HP:0040064,9978
HP:0001510,100
HP:0003677,38
HP:0003676,59
HP:0003679,60
HP:0005280,38
HP:0000422,72
HP:0005105,550
HP:0000366,703
HP:0011462,45
HP:0000787,66
HP:0012210,559
HP:0000077,902
HP:0010935,990
HP:0000079,1330
HP:0001284,62
HP:0001315,96
HP:0031826,185
HP:0100022,473
HP:0010783,50
HP:0011276,175
HP:0002597,1375
HP:0001626,3297
HP:0001265,60
HP:0000369,36
HP:0000357,60
HP:0000377,566
HP:0000356,601
HP:0031703,909
HP:0011800,36
HP:0000309,157
HP:0000272,36
HP:0010668,43
HP:0003693,67
HP:0003202,166
HP:0011805,774
Mobile:,34
HP:0000494,34
HP:0200006,36
HP:0008050,96
HP:0000492,368
HP:0030669,540
HP:0032039,540
HP:0000315,570
HP:0200134,34
HP:0001298,97
HP:0000519,34
HP:0001903,277
HP:0001877,475
HP:0000612,34
HP:0000525,196
HP:0000553,261
HP:0002015,44
HP:0000218,34
HP:0000256,53
HP:0040194,37
HP:0000240,48
HP:0000431,32
HP:0000023,32
HP:0004299,48
HP:0010866,58
HP:0004298,124
HP:0002119,67
HP:0002118,166
HP:0002540,51
HP:0001288,130
HP:0000938,30
HP:0004349,75
HP:0004348,342
HP:0011849,507
HP:0003330,647
HP:0004409,40
HP:0004408,60
HP:0000729,45
HP:0025783,40
HP:0000708,379
HP:0003510,30
HP:0003508,35
HP:0001371,140
HP:0034392,125
HP:0003549,408
HP:0001744,46
HP:0007663,65
HP:0011968,60
HP:0011458,187
HP:0025032,285
HP:0002460,66
HP:0001324,290
HP:0001272,66
HP:0001317,236
HP:0011283,246
HP:0011282,251
HP:0000160,30
HP:0011337,35
HP:0001426,48
HP:0001336,65
HP:0002079,33
HP:0007370,48
HP:0011001,166
HP:0006887,28
HP:0003584,28
HP:0001363,106
HP:0002683,297
HP:0001999,180
HP:0002515,28
HP:0001199,43
HP:0009602,241
HP:0001172,477
HP:0001167,3751
HP:0001155,4693
HP:0002817,5677
HP:0001347,99
HP:0000821,53
HP:0002926,135
HP:0000820,310
HP:0000818,1319
HP:0000490,28
HP:0002150,28
HP:0011280,42
HP:0012591,152
HP:0003110,760
HP:0003623,28
HP:0000967,28
HP:0031365,14
HP:0000979,38
HP:0003026,117
HP:0011314,669
HP:0011844,2358
HP:0001332,90
HP:0000952,38
HP:0001005,66
HP:0011354,186
HP:0011121,1567
HP:0000951,1942
HP:0002063,48
HP:0003198,67
HP:0003186,28
HP:0004404,64
HP:0031093,111
HP:0000769,126
HP:0000510,33
HP:0000556,71
